role,AA,EXT,AGR,CSN,EST,OPN,verbosity,deference,boldness,guardedness,warmth,groundedness,formality
producer,1.3769,0.0436,0.1439,0.0013,-0.0206,0.0758,2.3949,0.0075,0.2194,-2.7727,0.4959,-0.0641,1.5134
programmer,1.2284,0.0004,0.1439,0.0255,0.0003,0.1352,2.3254,-0.1183,0.1292,-2.7646,0.3100,-0.1631,1.4593
proofreader,1.2567,-0.0036,0.1170,0.0692,-0.0136,0.1183,2.4327,0.1629,-0.0357,-2.5606,0.2411,-0.0606,1.8377
prophet,-0.8161,-0.0040,0.0942,-0.0124,-0.0753,0.1610,2.5850,0.0945,0.2966,-2.5711,0.2742,-2.3768,1.9742
provincial,-0.0668,-0.0476,0.1592,-0.0006,0.0012,-0.0791,1.8835,0.2655,-0.2477,-1.5169,1.1171,-0.4692,-0.2309
provocateur,-0.5706,-0.0144,-0.0577,-0.1410,-0.0641,0.1201,1.9985,-0.6161,0.3396,-1.7296,0.2384,-1.3418,0.7208
psychologist,1.6622,0.0087,0.1373,-0.0117,-0.0126,0.0838,2.5152,0.0386,0.0199,-2.9744,0.3699,-0.0963,1.7416
publisher,1.5195,0.0308,0.1316,-0.0010,-0.0159,0.0879,2.4659,0.0288,0.1791,-2.8023,0.5043,-0.0454,1.6369
purist,-0.2518,-0.1690,-0.0271,0.0845,0.0191,-0.0251,2.6051,0.0065,0.3055,-2.2059,0.0502,-1.0581,2.0072
realist,1.2716,-0.0631,0.0236,-0.0223,-0.0560,-0.1306,2.0268,-0.4276,0.2797,-2.2952,-0.0337,0.1414,1.3596
rebel,-0.2398,-0.0494,-0.0141,-0.1270,-0.0457,0.1286,2.0754,-0.5411,0.4603,-1.9039,0.5313,-0.9490,0.4977
recruiter,1.4813,0.0384,0.1556,-0.0051,-0.0074,0.1037,2.3871,0.1035,0.1901,-2.7000,0.5989,0.0116,1.5425
refugee,0.4892,-0.0051,0.1963,-0.0472,-0.0196,0.0247,2.1840,0.2518,-0.0458,-2.0550,1.1504,-0.1722,0.7779
reporter,1.2585,0.0236,0.1303,0.0060,-0.0237,0.1047,2.4449,-0.0011,0.1536,-2.5974,0.5317,-0.0948,1.4799
researcher,1.7814,0.0213,0.1156,-0.0018,-0.0234,0.1004,2.5037,-0.0872,0.0215,-2.9660,0.0871,0.0124,1.9384
retiree,0.5699,0.0195,0.1831,-0.0633,0.0313,0.0741,2.2076,0.2685,-0.0508,-2.0052,1.2291,-0.2313,0.5342
revenant,-0.8735,-0.0370,0.1059,-0.0114,-0.0750,0.1306,2.3194,0.0836,0.0603,-2.1283,0.0728,-2.0626,1.8269
reviewer,1.7610,0.0128,0.0908,-0.0041,-0.0301,0.0661,2.4416,-0.0841,0.0900,-2.9328,0.0825,0.0266,1.9686
revolutionary,0.0183,-0.0488,0.0381,-0.0937,-0.0688,0.1707,2.4288,-0.3278,0.6403,-2.5400,0.5077,-0.8869,1.2006
robot,1.1424,0.0196,0.0820,0.0694,0.0149,0.0713,2.0200,-0.0665,0.0044,-2.5345,-1.0791,-0.2025,2.2731
rogue,-0.7453,-0.0525,0.0795,-0.0511,-0.0344,0.1794,1.9291,-0.2004,-0.1590,-1.4934,0.2538,-1.2741,0.7184
romantic,-0.4773,0.0562,0.2442,-0.0212,-0.0032,0.2412,2.7958,0.6372,0.0554,-2.6031,1.3424,-1.9390,1.3497
saboteur,0.0932,-0.0347,0.0626,-0.0791,-0.0558,0.1792,2.2660,-0.1764,-0.0165,-2.1041,-0.0541,-0.7609,1.5335
sage,-0.1042,-0.0124,0.1410,-0.0103,0.0113,0.2174,2.8891,0.3783,0.1542,-2.8250,0.6439,-1.7545,2.0663
scheduler,1.4528,0.0318,0.1358,0.0205,-0.0252,0.0558,2.3125,0.0636,0.1352,-2.7438,0.3234,0.0068,1.6671
scholar,1.0879,-0.0108,0.1151,0.0183,-0.0133,0.1828,2.8796,0.0705,-0.0435,-2.9378,-0.0008,-0.5658,2.2853
scientist,1.4162,0.0040,0.1228,0.0235,-0.0024,0.1149,2.4762,-0.1183,-0.0525,-2.8297,-0.0913,-0.0583,1.9203
scout,0.7161,-0.0031,0.1551,0.0051,-0.0107,0.0999,2.3896,-0.0196,0.1316,-2.6342,0.3767,-0.3933,1.5182
screener,1.6131,0.0075,0.1114,0.0201,-0.0167,0.0762,2.3030,0.0485,0.0806,-2.6504,0.1567,0.1789,1.8246
secretary,1.5518,0.0300,0.1280,0.0449,-0.0388,0.0360,2.2888,0.2162,0.0370,-2.5450,0.2909,0.2389,1.7270
shaman,-0.6727,0.0050,0.1572,0.0110,0.0254,0.1952,2.7091,0.4390,0.1934,-2.7983,0.9033,-1.9863,1.6475
shapeshifter,0.0014,0.0597,0.1504,-0.0176,-0.0061,0.1567,2.5209,0.3307,-0.0511,-2.4802,0.6097,-1.1939,1.5354
simulacrum,-0.4250,-0.0211,0.0852,-0.0701,-0.0211,0.1015,2.7301,0.0398,-0.3392,-2.2990,0.1159,-1.5192,1.7854
skeptic,1.0006,-0.0827,0.0561,-0.0119,0.0020,0.0361,2.3770,-0.3545,-0.2874,-2.2844,-0.0706,-0.1768,1.6665
smuggler,-0.4854,-0.1039,0.0991,-0.0147,-0.0563,0.0214,1.5895,-0.1843,-0.2929,-1.0538,0.3865,-0.6523,0.0953
sociologist,1.5445,0.0192,0.1394,-0.0400,-0.0313,0.0773,2.6728,-0.0325,0.0267,-3.0099,0.3746,-0.1181,1.7389
soldier,0.2266,-0.0594,0.1441,0.1096,-0.0017,0.0354,1.8782,-0.1786,0.3583,-2.0114,0.0759,-0.2033,1.0166
sommelier,0.2115,0.0461,0.1542,0.0525,0.0194,0.1175,2.4970,0.2596,-0.0057,-2.4891,0.6073,-0.9065,1.6102
specialist,1.4514,0.0046,0.1061,0.0116,-0.0318,0.1472,2.5998,-0.1182,0.1007,-2.9399,-0.0172,-0.2679,2.0011
spirit,-0.4560,0.0286,0.1317,0.0000,0.0136,0.2406,2.8116,0.4355,0.2561,-2.8451,0.3690,-2.2245,2.1844
spy,0.1037,-0.0669,0.0976,0.0391,-0.0297,0.1313,2.1222,-0.1008,0.0099,-1.9697,-0.0533,-0.6787,1.4885
statistician,1.2826,0.0257,0.1214,0.0121,-0.0018,0.1273,2.3385,-0.1478,-0.0892,-2.7286,0.0040,-0.1348,1.6790
stoic,-0.2038,-0.1148,0.0449,0.0420,0.1563,0.0776,2.3736,0.1564,0.2666,-2.1530,-0.2348,-1.0975,2.2864
strategist,1.6756,0.0292,0.1228,-0.0009,-0.0149,0.0903,2.3558,-0.1222,0.2208,-3.0126,0.0654,-0.0351,1.9311
student,1.4017,-0.0028,0.1623,-0.0156,-0.0374,0.0934,2.4121,0.4004,-0.4023,-2.1825,0.9383,0.1627,0.8578
summarizer,2.1112,0.0343,0.0969,-0.0032,-0.0255,0.0273,1.8738,-0.0270,0.2858,-2.7672,0.0791,0.3408,1.7942
supervisor,1.7237,0.0352,0.1390,0.0108,-0.0189,0.0606,2.3806,0.0288,0.2169,-2.8305,0.4279,0.2206,1.6934
surfer,-0.2494,-0.0279,0.2395,-0.0191,0.0531,0.1198,1.9874,0.1951,-0.1743,-1.9478,1.1407,-0.9581,-0.3881
survivor,0.4138,0.0174,0.1803,-0.0298,0.0069,0.1309,2.3412,0.1001,0.2954,-2.4067,1.0891,-0.5923,0.9743
swarm,0.1118,0.0175,0.1371,0.0041,-0.0058,0.1927,2.5249,0.3143,0.0688,-2.6333,-0.2492,-1.2506,2.2042
symbiont,0.4769,0.0229,0.2058,0.0092,0.0151,0.1272,2.6520,0.2698,0.1055,-2.9636,0.4855,-0.7136,1.8311
synthesizer,1.1798,0.0333,0.1370,-0.0061,-0.0024,0.1719,2.5683,0.0185,0.0806,-2.9839,0.2393,-0.5584,1.8964
teacher,1.6678,0.0239,0.1327,-0.0161,-0.0242,0.0973,2.4102,0.1076,0.0072,-2.7848,0.6186,0.0281,1.5331
technologist,1.2439,0.0252,0.1308,0.0115,-0.0007,0.1938,2.4693,-0.0951,0.2113,-2.8706,0.3323,-0.2599,1.5728
teenager,0.9939,-0.0318,0.1730,-0.1065,-0.1111,-0.0495,1.4840,0.3222,-0.7550,-0.9619,1.4012,0.4525,-1.3490
theorist,1.0230,0.0194,0.1156,0.0192,-0.0230,0.1841,2.6892,-0.0822,0.0520,-3.0958,-0.0481,-0.6773,2.1472
therapist,1.4829,0.0104,0.1432,-0.0299,-0.0261,0.0636,2.5191,0.4439,-0.1057,-2.7021,0.9095,-0.1314,1.5454
toddler,0.2644,0.1337,0.2179,-0.1386,-0.2268,-0.1985,0.5911,0.6198,-0.9697,-0.6731,0.8545,-0.2665,-0.7173
traditionalist,-0.0108,-0.1538,0.0872,0.0802,0.0458,-0.1192,2.6795,0.3392,-0.0305,-2.2042,0.5294,-0.7928,1.8535
trainer,1.6538,0.0246,0.1237,0.0131,-0.0108,0.0764,2.2878,0.0022,0.1774,-2.8436,0.3866,0.1209,1.6407
translator,1.0317,-0.0003,0.1441,0.0130,-0.0043,0.1431,2.6520,0.1562,-0.0319,-2.8095,0.5529,-0.4733,1.7537
tree,-1.1718,0.0071,0.1777,-0.0490,0.0114,0.0986,2.4134,0.2293,0.0475,-2.3994,0.2225,-2.1153,1.7954
trickster,-0.7148,0.0098,0.1267,-0.0874,-0.0126,0.2180,2.1274,-0.1660,-0.1975,-1.8964,0.6738,-1.7528,0.6723
tulpa,0.3937,0.0076,0.1591,-0.0404,-0.0215,0.1827,2.6043,0.3417,-0.1080,-2.4334,0.5641,-0.8529,1.4394
tutor,1.6354,0.0157,0.1271,-0.0152,-0.0233,0.0828,2.3504,0.0979,-0.0554,-2.6701,0.6118,0.0651,1.4447
validator,1.6202,-0.0052,0.1064,0.0346,-0.0179,0.0713,2.4272,-0.0778,-0.0287,-2.7874,-0.0262,0.0957,1.9788
vampire,-1.1414,0.0110,0.0529,-0.0069,-0.0511,0.1571,2.2564,0.0447,-0.0464,-1.8630,-0.1489,-2.1539,1.7221
vegan,0.8284,-0.0070,0.1632,0.0161,0.0226,0.2159,2.3980,0.3127,0.1538,-2.5634,1.0844,-0.2208,0.9600
veteran,0.4140,-0.0306,0.1755,0.0603,0.0062,0.0743,1.9729,-0.1478,0.3072,-2.0933,0.6212,-0.1479,0.5738
veterinarian,1.1785,0.0022,0.1749,0.0176,-0.0119,0.0628,2.3420,0.1581,0.0605,-2.5429,0.7085,0.0308,1.4000
vigilante,-0.2107,-0.0780,0.0556,0.0081,-0.0733,0.1434,1.8915,-0.2785,0.3115,-1.7627,0.3893,-0.6553,0.8122
virtuoso,0.2438,0.0367,0.1402,0.0237,0.0039,0.2367,2.7643,0.1905,0.2305,-2.7888,0.4264,-1.2317,1.9427
virus,0.1544,0.0349,0.1037,-0.0238,-0.0002,0.1632,2.3847,0.0547,-0.0043,-2.4117,-0.1695,-0.7745,1.7526
visionary,0.6968,0.0673,0.1316,-0.0158,0.0306,0.2827,2.6912,0.0034,0.4310,-3.0352,0.5751,-0.9762,1.7539
void,-1.3953,-0.0388,0.0408,-0.0455,-0.0670,0.0638,2.2362,0.4309,-0.9325,-1.5161,-0.6153,-2.5423,1.9291
wanderer,-0.2776,0.0231,0.1482,-0.0754,0.0025,0.1554,2.5719,0.2063,0.0074,-2.3615,0.8552,-1.4715,1.3625
warrior,-0.4919,0.0316,0.1188,0.0861,-0.0190,0.1514,2.2161,-0.1161,0.6023,-2.3459,0.3317,-1.4530,1.5137
whale,-0.7793,-0.0078,0.1933,-0.0025,0.0138,0.2151,2.5638,0.3383,0.0088,-2.4632,0.3930,-1.9596,1.7785
widow,0.3439,0.0063,0.2054,-0.0707,-0.0187,0.0475,2.1501,0.4137,-0.1243,-1.9065,1.2776,-0.4437,0.7426
wind,-0.6276,0.0640,0.1619,-0.0408,-0.0161,0.1527,2.4804,0.1911,0.1092,-2.5400,0.5078,-2.1546,1.6458
witch,-0.9395,0.0394,0.1139,0.0440,-0.0176,0.2720,2.6433,0.2727,0.1491,-2.6277,0.2743,-2.5666,1.9070
witness,0.9869,0.0156,0.1460,-0.0134,-0.0237,0.0852,2.4955,0.1787,0.0317,-2.4916,0.5004,-0.1839,1.5851
workaholic,-0.0764,-0.0595,-0.1673,0.1297,-0.1020,0.0039,1.3763,-0.0611,0.1348,-0.7150,-0.4713,0.0013,0.7174
wraith,-1.1318,-0.0132,0.1047,-0.0260,-0.0728,0.1589,2.5398,0.2273,-0.1624,-2.3505,0.0160,-2.7773,2.0108
writer,0.6691,0.0390,0.1362,-0.0072,-0.0304,0.1675,2.7079,0.1339,0.1539,-2.7421,0.5428,-1.0829,1.7072
zealot,-0.9971,-0.0026,-0.1176,0.0422,-0.0508,0.1403,2.1222,0.2243,0.6328,-1.6206,-0.0056,-1.8859,1.3842
